organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,20457d44-da64-4b27-8cb6-dfb554026494,"Age-Specific Death Rates, Annual",2016-06-21,2019-08-01,Data prior to 1980 pertain to total population. Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).,Annual,1960-01-01,2018-12-31,66f3eec1-9e1e-4df6-9706-7b7e844e5377,Crude Death Rates by Sex,na,CSV
Ministry of Trade and Industry - Department of Statistics,20457d44-da64-4b27-8cb6-dfb554026494,"Age-Specific Death Rates, Annual",2016-06-21,2019-08-01,Data prior to 1980 pertain to total population. Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).,Annual,1960-01-01,2018-12-31,0024df14-70c1-47f3-90e1-51e1a2628bf0,Age-Specific Death Rates by Sex,Under 1 death rate refers to infant mortality rate (deaths of resident infants under 1 year of age per thousand resident live-births).,CSV
Health Promotion Board,105170b1-692d-4f63-8019-c058de61c720,Age-standardised incidence rate and prevalence rate for definitive dialysis and transplant patients,2018-08-23,2018-08-30,"The table/figure shows the age-standardised incidence rate (per 1,000,000 population) and prevalence rate (per 1,000,000 population) of definitive dialysis patients and transplant patients in Singapore. 

The rates are expressed as per 1,000,000 residential population and standardised to the Segi World Population.

The numbers will be updated annually due to ongoing retrospective case collection.",Annual,1999-01-01,2016-12-31,62003fa7-c885-4df2-bad6-3d634792b472,Age-standardised incidence rate and prevalence rate for definitive dialysis and transplant,na,CSV
Health Promotion Board,50c36c77-adb4-4868-aa5a-0184d33cc745,Age-standardised incidence rate of acute myocardial infarction by gender,2018-08-23,2018-08-30,"The table/figure shows the age-standardised incidence rate of acute myocardial infarction in Singapore with a breakdown by gender.

The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.

The numbers will be updated annually due to ongoing retrospective case collection.",Annual,2007-01-01,2016-12-31,3d51e1e1-4069-4e04-85d5-ae3a310e98d4,Age-standardised incidence rate of acute myocardial infarction by gender,na,CSV
Health Promotion Board,e1145d09-6228-4df5-a12e-c485ba7728bf,Age-standardised incidence rate of stroke by gender,2019-11-19,2019-11-19,"The table/figure shows the age-standardised incidence rate (per 100,000 population) of stroke in Singapore with a breakdown by gender.

The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.

The numbers will be updated annually due to ongoing retrospective case collection.",Annual,2005-01-01,2014-12-31,1af8d6ff-b37b-4971-b8c3-8fc84e89b819,Age-standardised incidence rate of stroke by gender,The incidence rates were directly age-standardised using the Segi World Population.,CSV
Health Promotion Board,8445705b-fb39-426c-beff-07345a70d5e8,Age-standardised incidence rate of the top three cancers by gender and 5-year period,2018-08-23,2018-08-30,"The table/figure shows the age-standardised incidence rate (per 100,000 population) of the top three cancers among men and women in Singapore.

The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.

The numbers will be updated annually due to ongoing retrospective case collection.",Annual,1976-01-01,2015-12-31,c81b550e-b19f-403e-9f77-07036398ebaa,Age-standardised incidence rate of the top three cancers by gender and 5-year period,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",2016-07-01,2017-05-29,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,1990-01-01,2014-12-31,a1ab671c-8113-44b6-8042-92fa74024de8,Age-Standardised Mortality Rate for Ischaemic Heart Disease,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",2016-07-01,2017-05-29,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,1990-01-01,2014-12-31,a32f10f6-b1f4-450b-a56d-7b94b2658166,Age-Standardised Mortality Rate for Stroke,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",2016-07-01,2017-05-29,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,1990-01-01,2014-12-31,d5bf3103-08d3-4672-bc61-fdf7565ce402,Age-Standardised Mortality Rate for Cancer,Age-Standardised Mortality Rate for Cancer,CSV
Ministry of Transport,597542e5-b8cf-4795-8338-acd4d6bacc2b,Air Accident Investigation Reports by Date,2016-04-25,2019-07-30,Air Accident Investigation Reports available from the Transport Investigation Bureau of Singapore,Annual,2000-10-19,2019-07-30,cc262140-316d-4a6d-8730-ec9f88c691da,Air Accident Investigation Reports by Date,na,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,2017-03-15,2019-09-15,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,1986-01-01,2019-07-31,2a6106f6-5a4b-4d10-9399-36ef4a9b59f7,Total Air Cargo Discharged in Tonnes,na,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,2017-03-15,2019-09-15,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,1986-01-01,2019-07-31,b8e4eeb1-254c-46ef-a7f7-8f49790820be,Total Air Cargo Discharged in Tonnes by Region,na,CSV
Civil Aviation Authority of Singapore,2bf11177-14ef-4cd7-a948-f564f7fe1798,Total Air Cargo Discharged By Region and Country Of Origin,2017-03-15,2019-09-15,Air cargo discharged (measured in tonnes) by the various regions and countries collected on a monthly frequency.,Monthly,1986-01-01,2019-07-31,dcae511e-eb14-407e-abb5-df75d2bc77b7,Total Air Cargo Discharged in Tonnes by Country,na,CSV
Civil Aviation Authority of Singapore,8ce4937b-7656-4a15-9e1b-948f538f8f54,Air Cargo Discharged - Total by Region and Selected Country of Origin,2017-09-17,2019-08-01,"Refers to Changi Airport only. Air cargo data exclude passenger baggage, diplomatic cargo and aircraft stores.",Annual,1986-01-01,2019-05-31,c4b2fae7-9d0d-411a-90f3-f54092b04fb6,"Air Cargo Discharged, Monthly",na,CSV
Civil Aviation Authority of Singapore,8ce4937b-7656-4a15-9e1b-948f538f8f54,Air Cargo Discharged - Total by Region and Selected Country of Origin,2017-09-17,2019-08-01,"Refers to Changi Airport only. Air cargo data exclude passenger baggage, diplomatic cargo and aircraft stores.",Annual,1986-01-01,2019-05-31,afe8d68e-60f8-434c-ab1a-255a67c635a0,Total Air Cargo Discharged in Tonnes by Country,na,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,2015-05-20,2019-08-05,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. 

Please note that the information has been obtained from third party sources.",Monthly,1986-01-01,2019-06-30,2a8dd954-d260-4018-9d6b-503bedf1f019,Total Air Cargo Loaded,na,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,2015-05-20,2019-08-05,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. 

Please note that the information has been obtained from third party sources.",Monthly,1986-01-01,2019-06-30,fcb6b573-39b8-43ed-a266-2953dd91d945,Total Air Cargo Loaded in Tonnes By Region,na,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,2015-05-20,2019-08-05,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. 

Please note that the information has been obtained from third party sources.",Monthly,1986-01-01,2019-06-30,e75c73a5-0d3a-4eb3-a152-ca3fe6202c68,Total Air Cargo Loaded in Tonnes by Country,na,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,2015-05-20,2019-10-08,"Air Passenger Arrivals by Region and Selected Country of Embarkation.

Note:

1. Refers to Changi Airport only.  

2. Data exclude transit passengers who continued their journey on the same flight.  

3. Figures from January 1989 refer to Changi Airport only.

4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.

5. Please note that the information has been obtained from third party sources.",Monthly,1961-01-01,2019-08-31,4b634602-570d-47af-bae2-403135179249,Total Air Passenger Arrivals,na,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,2015-05-20,2019-10-08,"Air Passenger Arrivals by Region and Selected Country of Embarkation.

Note:

1. Refers to Changi Airport only.  

2. Data exclude transit passengers who continued their journey on the same flight.  

3. Figures from January 1989 refer to Changi Airport only.

4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.

5. Please note that the information has been obtained from third party sources.",Monthly,1961-01-01,2019-08-31,e80cd9b0-580b-48f0-a5b6-aa9b01fab201,Total Air Passenger Arrivals by Region,na,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,2015-05-20,2019-10-08,"Air Passenger Arrivals by Region and Selected Country of Embarkation.

Note:

1. Refers to Changi Airport only.  

2. Data exclude transit passengers who continued their journey on the same flight.  

3. Figures from January 1989 refer to Changi Airport only.

4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.

5. Please note that the information has been obtained from third party sources.",Monthly,1961-01-01,2019-08-31,efd7b75b-992e-4221-aff3-c57140af1f67,Total Air Passenger Arrivals by Country,na,CSV
Civil Aviation Authority of Singapore,c8306f54-8021-4910-8d08-b2aefb483648,Air Passenger Departures - Total by Region and Selected Country of Disembarkation,2015-05-20,2020-02-03,"Air Passenger Departures by region and selected country of disembarkation.

Refers to Changi Airport only.  Data exclude transit passengers who continued their journey on the same flight.  Figures from January 1989 refer to Changi Airport only.

Please note that the information has been obtained from third party sources.
GERMANY - Data prior to January 1991 refers to Federal Republic of Germany only.",Monthly,1961-01-01,2019-12-31,59fb2635-2390-4b8f-b8e7-38b61c8d64a7,Total Air Passenger Departures,na,CSV
Civil Aviation Authority of Singapore,c8306f54-8021-4910-8d08-b2aefb483648,Air Passenger Departures - Total by Region and Selected Country of Disembarkation,2015-05-20,2020-02-03,"Air Passenger Departures by region and selected country of disembarkation.

Refers to Changi Airport only.  Data exclude transit passengers who continued their journey on the same flight.  Figures from January 1989 refer to Changi Airport only.

Please note that the information has been obtained from third party sources.
GERMANY - Data prior to January 1991 refers to Federal Republic of Germany only.",Monthly,1961-01-01,2019-12-31,04e41bb7-ad8d-4a25-b036-7e4057b074a8,Total Air Passenger Departures by Region,na,CSV
Civil Aviation Authority of Singapore,c8306f54-8021-4910-8d08-b2aefb483648,Air Passenger Departures - Total by Region and Selected Country of Disembarkation,2015-05-20,2020-02-03,"Air Passenger Departures by region and selected country of disembarkation.

Refers to Changi Airport only.  Data exclude transit passengers who continued their journey on the same flight.  Figures from January 1989 refer to Changi Airport only.

Please note that the information has been obtained from third party sources.
GERMANY - Data prior to January 1991 refers to Federal Republic of Germany only.",Monthly,1961-01-01,2019-12-31,2f899458-6fd9-461f-88db-2d4e42f84bc4,Total Air Passenger Departures by Country,na,CSV
National Environment Agency,c178cb62-7e0d-4b53-ba22-28f9adbf7c7d,Air Pollutant - Lead,2016-05-09,2017-04-21,Air Pollutant - Lead,Annual,2006-01-01,2014-12-31,2b14a0cf-203c-4b0f-8432-62be3971f9b6,Air Polluant - Lead,na,CSV
National Environment Agency,5e55b076-5d48-4c1f-b9be-bd742504bb54,Air Pollutant - Carbon Monoxide,2015-05-20,2017-04-21,Air Pollutant - Carbon Monoxide,Annual,1999-01-01,2014-12-31,9c28a8fa-9f14-4985-aadc-cff5a49c496a,Air Pollutant - Carbon Monoxide  (2nd Maximum 8-Hour Mean),na,CSV
National Environment Agency,21facfab-8730-4244-89b7-e433d7e4322e,Air Pollutant - Nitrogen Dioxide,2015-05-20,2017-04-21,Air Pollutant - Nitrogen Dioxide,Annual,1999-01-01,2014-12-31,f8060108-f102-41e2-be12-fe264a34bba4,Air Pollutant - Nitrogen Dioxide,na,CSV
National Environment Agency,98bc64dc-d818-4c83-a962-ad39f43fb3e4,Air Pollutant - Ozone,2015-05-20,2017-04-21,Air Pollutant - Ozone,Annual,1999-01-01,2014-12-31,1bdc3a3e-27bd-4b5b-b13a-2e36528fb785,Air Pollutant - Ozone,na,CSV
